127.0.0.1 - - [19/Dec/2019:15:40:13 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:40:13 +0900] "GET /UI03_JS/ HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:40:13 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:40:37 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:40:38 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:40:46 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:43:17 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:43:33 +0900] "GET /UI03_JS/ HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:43:37 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:47:54 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:47:56 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:47:57 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:48:01 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:52:55 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:52:55 +0900] "GET /UI03_JS/js/test.js HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:53:04 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:54:04 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [19/Dec/2019:15:54:04 +0900] "GET /UI03_JS/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:16:14:19 +0900] "GET /UI03_JS/js01_start.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [19/Dec/2019:16:14:19 +0900] "GET /UI03_JS/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:16:14:26 +0900] "GET /UI03_JS/ HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [19/Dec/2019:16:14:29 +0900] "GET /UI03_JS/js02_var.html HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [19/Dec/2019:16:15:45 +0900] "GET /UI03_JS/js02_var.html HTTP/1.1" 200 1643
